geoid,YYYYMM,Sex,Age_Group,total_drug_OD_n,total_opioid_OD_n,total_heroin_OD_n,total_Fentanyl_OD_n,total_stimulant_OD_n,total_Cocaine_OD_n,total_Methamphetamine_OD_n,total_Benzo_OD_n,total_ED_visits
US,202404,Female,35 to 44,4380,1302,141,219,235,103,80,107,747641
US,202405,Missing,0 to 10,6,0,0,0,0,0,0,0,1912
US,202407,Total,65+,8092,2494,219,130,151,102,38,221,2701044
US,202402,Male,Total,32472,10522,1102,1710,2076,1030,702,508,4592077
US,202501,Total,65+,7470,2337,122,107,147,103,26,199,2783731
US,202411,Total,11 to 14,1641,22,0,4,30,0,1,12,309412
US,202401,Total,65+,7324,2362,135,102,154,111,29,226,2607268
US,202409,Male,35 to 44,6840,2521,253,509,541,242,218,121,605272
US,202405,Male,11 to 14,500,14,1,6,19,0,3,4,158858
US,202401,Female,15 to 24,5071,412,18,112,135,53,24,49,750894
US,202411,Male,11 to 14,459,11,0,3,12,0,0,6,154465
US,202411,Female,Total,25988,5540,405,739,856,380,257,593,5779392
US,202409,Male,55 to 64,3973,1608,189,152,285,194,70,69,622181
US,202411,Total,55 to 64,6684,2483,234,226,312,206,75,182,1205637
US,202404,Total,45 to 54,8166,2786,294,377,476,254,169,171,1154979
US,202406,Missing,0 to 10,4,1,0,1,0,0,0,0,1078
US,202501,Total,11 to 14,1612,23,0,1,27,2,3,9,307272
US,202405,Male,65+,3636,1289,171,80,111,86,22,79,1117069
US,202403,Male,65+,3658,1295,150,71,108,79,13,71,1127040
US,202401,Male,25 to 34,7328,2758,301,574,505,217,202,128,585799
US,202408,Female,Missing,290,102,1,6,2,1,0,3,34393
US,202403,Female,45 to 54,3423,947,84,115,158,76,50,97,633523
US,202405,Female,11 to 14,1426,24,0,9,31,1,1,9,149279
US,202408,Female,15 to 24,5002,413,13,89,134,56,33,73,754900
US,202412,Total,55 to 64,6595,2442,262,187,332,219,77,155,1308889
US,202411,Male,0 to 10,1945,36,0,5,52,3,6,15,705293
US,202403,Total,15 to 24,9824,1400,83,350,394,157,87,168,1210451
US,202412,Missing,0 to 10,4,1,0,0,0,0,0,0,1329
US,202407,Female,25 to 34,4808,1281,140,267,261,111,99,93,925214
US,202408,Missing,25 to 34,23,8,0,2,0,0,0,1,1852
US,202502,Male,11 to 14,436,9,0,2,10,0,4,6,150443
US,202404,Male,35 to 44,7353,2752,257,532,631,282,258,104,578572
US,202406,Male,Missing,454,173,4,10,11,9,0,2,21161
US,202408,Missing,55 to 64,15,7,0,0,0,0,0,0,1614
US,202407,Female,45 to 54,3527,966,90,105,187,88,77,111,666253
US,202402,Missing,25 to 34,28,9,0,2,1,1,0,0,1872
US,202409,Total,15 to 24,9574,992,40,250,364,138,68,158,1295202
US,202402,Female,Total,26215,5812,447,772,941,425,262,612,5639551
US,202409,Male,Total,32794,10078,977,1609,2064,1001,695,575,4880526
US,202401,Male,35 to 44,6939,2658,271,472,510,211,225,113,603351
US,202409,Female,11 to 14,1511,18,0,3,23,0,1,6,160411
US,202410,Total,Missing,901,295,9,23,18,9,5,9,65119
