key,allPercentageChange,opioidPercentageChange,heroinPercentageChange,stimulantPercentageChange,allIsSignificant,opioidIsSignificant,heroinIsSignificant,stimulantIsSignificant,allSignificance,opioidSignificance,heroinSignificance,stimulantSignificance,jurisdiction,geo,startYear,startMonth,endYear,endMonth,gender,ageRange
US|2018|1|all|all:US|2018|2|all|all,2.96,3.91,3.74,13.94,TRUE,TRUE,FALSE,TRUE,Significant Increase,Significant Increase,No Significant Change,Significant Increase,US,US-US,2018,1,2018,2,all,all
US|2018|2|all|all:US|2018|3|all|all,8.21,9.47,7.49,13.76,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,US,US-US,2018,2,2018,3,all,all
US|2018|3|all|all:US|2018|4|all|all,1.21,0.41,-2.23,0.87,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,3,2018,4,all,all
US|2018|4|all|all:US|2018|5|all|all,3.73,7.16,11.31,3.46,TRUE,TRUE,TRUE,FALSE,Significant Increase,Significant Increase,Significant Increase,No Significant Change,US,US-US,2018,4,2018,5,all,all
US|2018|5|all|all:US|2018|6|all|all,2.85,6.68,5.42,5.07,TRUE,TRUE,TRUE,FALSE,Significant Increase,Significant Increase,Significant Increase,No Significant Change,US,US-US,2018,5,2018,6,all,all
US|2018|6|all|all:US|2018|7|all|all,0.78,-2.52,-3.39,1.14,FALSE,TRUE,TRUE,FALSE,No Significant Change,Significant Decrease,Significant Decrease,No Significant Change,US,US-US,2018,6,2018,7,all,all
US|2018|7|all|all:US|2018|8|all|all,2.21,3.92,5.08,4.49,TRUE,TRUE,TRUE,FALSE,Significant Increase,Significant Increase,Significant Increase,No Significant Change,US,US-US,2018,7,2018,8,all,all
US|2018|8|all|all:US|2018|9|all|all,-4.4,-7.39,-9.26,-10.35,TRUE,TRUE,TRUE,TRUE,Significant Decrease,Significant Decrease,Significant Decrease,Significant Decrease,US,US-US,2018,8,2018,9,all,all
US|2018|9|all|all:US|2018|10|all|all,-2.48,-1.35,-4.36,-8.45,TRUE,FALSE,TRUE,TRUE,Significant Decrease,No Significant Change,Significant Decrease,Significant Decrease,US,US-US,2018,9,2018,10,all,all
US|2018|10|all|all:US|2018|11|all|all,-0.69,-1.68,-5.52,3.39,FALSE,FALSE,TRUE,FALSE,No Significant Change,No Significant Change,Significant Decrease,No Significant Change,US,US-US,2018,10,2018,11,all,all
US|2018|11|all|all:US|2018|12|all|all,-7.45,-6.12,-6.47,-2.53,TRUE,TRUE,TRUE,FALSE,Significant Decrease,Significant Decrease,Significant Decrease,No Significant Change,US,US-US,2018,11,2018,12,all,all
US|2018|1|F|all:US|2018|2|F|all,2.0,4.8,8.54,13.4,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,US,US-US,2018,1,2018,2,F,all
US|2018|1|M|all:US|2018|2|M|all,3.79,3.32,1.6,13.87,TRUE,TRUE,FALSE,TRUE,Significant Increase,Significant Increase,No Significant Change,Significant Increase,US,US-US,2018,1,2018,2,M,all
US|2018|1|Missing|all:US|2018|2|Missing|all,-7.53,-22.36,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,US,US-US,2018,1,2018,2,Missing,all
