key,allPercentageChange,opioidPercentageChange,heroinPercentageChange,stimulantPercentageChange,allIsSignificant,opioidIsSignificant,heroinIsSignificant,stimulantIsSignificant,allSignificance,opioidSignificance,heroinSignificance,stimulantSignificance,state,geo,startYear,startMonth,endYear,endMonth,gender,ageRange
AK|2018|1|all|all:AK|2018|2|all|all,-1.4,1.98,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,1,2018,2,all,all
AK|2018|1|all|all:AK|2019|1|all|all,-4.09,4.28,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,1,2019,1,all,all
AK|2018|10|all|all:AK|2018|11|all|all,3.31,-17.97,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,10,2018,11,all,all
AK|2018|10|all|all:AK|2019|10|all|all,0.21,6.27,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,10,2019,10,all,all
AK|2018|11|all|all:AK|2018|12|all|all,-32.27,-40.67,suppressed,suppressed,TRUE,FALSE,FALSE,FALSE,Significant Decrease,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,11,2018,12,all,all
AK|2018|11|all|all:AK|2019|11|all|all,-6.83,-21.75,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,11,2019,11,all,all
AK|2018|12|all|all:AK|2019|1|all|all,7.43,5.04,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,12,2019,1,all,all
AK|2018|12|all|all:AK|2019|12|all|all,22.04,27.63,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,12,2019,12,all,all
AK|2018|2|all|all:AK|2018|3|all|all,17.35,30.42,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,2,2018,3,all,all
AK|2018|2|all|all:AK|2019|2|all|all,10.4,55.52,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,2,2019,2,all,all
AK|2018|3|all|all:AK|2018|4|all|all,12.22,12.9,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,3,2018,4,all,all
AK|2018|3|all|all:AK|2019|3|all|all,-3.69,28.03,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,3,2019,3,all,all
AK|2018|4|all|all:AK|2018|5|all|all,-15.43,6.38,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,4,2018,5,all,all
AK|2018|4|all|all:AK|2019|4|all|all,-13.34,10.76,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,4,2019,4,all,all
AK|2018|5|all|all:AK|2018|6|all|all,-10.53,-18.55,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,5,2018,6,all,all
AK|2018|5|all|all:AK|2019|5|all|all,-5.81,4.95,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,5,2019,5,all,all
AK|2018|6|all|all:AK|2018|7|all|all,16.1,12.31,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,6,2018,7,all,all
AK|2018|6|all|all:AK|2019|6|all|all,8.84,13.49,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,6,2019,6,all,all
AK|2018|7|all|all:AK|2018|8|all|all,18.45,13.96,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,7,2018,8,all,all
AK|2018|7|all|all:AK|2019|7|all|all,14.2,39.4,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,7,2019,7,all,all
AK|2018|8|all|all:AK|2018|9|all|all,-26.46,-6.6,suppressed,suppressed,TRUE,FALSE,FALSE,FALSE,Significant Decrease,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,8,2018,9,all,all
AK|2018|8|all|all:AK|2019|8|all|all,-18.89,5.22,suppressed,suppressed,TRUE,FALSE,FALSE,FALSE,Significant Decrease,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,8,2019,8,all,all
AK|2018|9|all|all:AK|2018|10|all|all,28.41,31.16,suppressed,suppressed,TRUE,FALSE,FALSE,FALSE,Significant Increase,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,9,2018,10,all,all
AK|2018|9|all|all:AK|2019|9|all|all,19.43,-17.57,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,9,2019,9,all,all
AK|2019|1|all|all:AK|2019|2|all|all,13.49,52.08,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2019,1,2019,2,all,all
AK|2019|1|all|all:AK|2020|1|all|all,23.85,32.45,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2019,1,2020,1,all,all
AK|2019|10|all|all:AK|2019|11|all|all,-3.94,-39.6,suppressed,suppressed,FALSE,TRUE,FALSE,FALSE,No Significant Change,Significant Decrease,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2019,10,2019,11,all,all
AK|2019|10|all|all:AK|2020|10|all|all,8.9,-17.46,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2019,10,2020,10,all,all
AK|2019|11|all|all:AK|2019|12|all|all,-11.29,-3.23,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2019,11,2019,12,all,all
AK|2019|11|all|all:AK|2020|11|all|all,23.48,64.7,suppressed,suppressed,TRUE,TRUE,FALSE,FALSE,Significant Increase,Significant Increase,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2019,11,2020,11,all,all
AK|2019|12|all|all:AK|2020|1|all|all,9.03,9.01,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2019,12,2020,1,all,all
AK|2019|12|all|all:AK|2020|12|all|all,60.3,169.96,suppressed,suppressed,TRUE,TRUE,FALSE,FALSE,Significant Increase,Significant Increase,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2019,12,2020,12,all,all
AK|2019|2|all|all:AK|2019|3|all|all,2.37,7.37,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2019,2,2019,3,all,all
AK|2019|2|all|all:AK|2020|2|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2019,2,2020,2,all,all
AK|2019|3|all|all:AK|2019|4|all|all,0.97,-2.33,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2019,3,2019,4,all,all
AK|2019|3|all|all:AK|2020|3|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2019,3,2020,3,all,all
AK|2019|4|all|all:AK|2019|5|all|all,-8.07,0.79,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2019,4,2019,5,all,all
AK|2019|4|all|all:AK|2020|4|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2019,4,2020,4,all,all
AK|2019|5|all|all:AK|2019|6|all|all,3.38,-11.92,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2019,5,2019,6,all,all
AK|2019|5|all|all:AK|2020|5|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2019,5,2020,5,all,all
AK|2019|6|all|all:AK|2019|7|all|all,21.82,37.94,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2019,6,2019,7,all,all
AK|2019|6|all|all:AK|2020|6|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2019,6,2020,6,all,all
AK|2019|7|all|all:AK|2019|8|all|all,-15.87,-13.99,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2019,7,2019,8,all,all
AK|2019|7|all|all:AK|2020|7|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2019,7,2020,7,all,all
AK|2019|8|all|all:AK|2019|9|all|all,8.28,-26.83,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2019,8,2019,9,all,all
