key,allPercentageChange,opioidPercentageChange,heroinPercentageChange,stimulantPercentageChange,fentanylPercentageChange,methamphetaminePercentageChange,cocainePercentageChange,benzoPercentageChange,allIsSignificant,opioidIsSignificant,heroinIsSignificant,stimulantIsSignificant,fentanylIsSignificant,methamphetamineIsSignificant,cocaineIsSignificant,benzoIsSignificant,allSignificance,opioidSignificance,heroinSignificance,stimulantSignificance,fentanylSignificance,methamphetamineSignificance,cocaineSignificance,benzoSignificance,state,geo,startYear,startMonth,endYear,endMonth,gender,ageRange,jurisdiction_count,comparisonType
US|2018|1|all|all:US|2018|2|all|all,3.13,5.03,4.84,13.8,-15.7,17.64,12.81,-0.82,true,true,true,true,false,true,true,false,Significant Increase,Significant Increase,Significant Increase,Significant Increase,No Significant Change,Significant Increase,Significant Increase,No Significant Change,US,US-US,2018,1,2018,2,all,all,37,1Month2MonthUS
US|2018|2|all|all:US|2018|3|all|all,7.26,7.91,4.98,11.41,29.23,6.16,15.97,5.02,true,true,true,true,false,false,true,false,Significant Increase,Significant Increase,Significant Increase,Significant Increase,No Significant Change,No Significant Change,Significant Increase,No Significant Change,US,US-US,2018,2,2018,3,all,all,37,1Month2MonthUS
US|2018|3|all|all:US|2018|4|all|all,1.45,1.88,1.32,0.03,-4.84,0.08,-0.67,1.66,true,false,false,false,false,false,false,false,Significant Increase,No Significant Change,No Significant Change,No Significant Change,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,3,2018,4,all,all,38,1Month2MonthUS
US|2018|4|all|all:US|2018|5|all|all,5.23,8.57,10.86,5.32,10.2,6.47,3.62,5.84,true,true,true,false,false,false,false,false,Significant Increase,Significant Increase,Significant Increase,No Significant Change,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,4,2018,5,all,all,38,1Month2MonthUS
US|2018|5|all|all:US|2018|6|all|all,4.65,10.87,11.06,6.65,12.17,4.79,10.65,12.22,true,true,true,true,false,false,true,true,Significant Increase,Significant Increase,Significant Increase,Significant Increase,No Significant Change,No Significant Change,Significant Increase,Significant Increase,US,US-US,2018,5,2018,6,all,all,38,1Month2MonthUS
US|2018|6|all|all:US|2018|7|all|all,-0.57,-4.76,-5.06,0.48,-2.74,7.94,-9.57,-3.54,false,true,true,false,false,false,true,false,No Significant Change,Significant Decrease,Significant Decrease,No Significant Change,No Significant Change,No Significant Change,Significant Decrease,No Significant Change,US,US-US,2018,6,2018,7,all,all,38,1Month2MonthUS
US|2018|7|all|all:US|2018|8|all|all,2.2,1.81,0.12,3.37,9.94,3.3,1.56,0.62,true,false,false,false,false,false,false,false,Significant Increase,No Significant Change,No Significant Change,No Significant Change,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,7,2018,8,all,all,38,1Month2MonthUS
US|2018|8|all|all:US|2018|9|all|all,-4.68,-7.28,-8.71,-7.45,-3.88,-8.14,-7.53,-6.66,true,true,true,true,false,false,false,false,Significant Decrease,Significant Decrease,Significant Decrease,Significant Decrease,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,8,2018,9,all,all,38,1Month2MonthUS
US|2018|9|all|all:US|2018|10|all|all,-2.9,-1.96,-6.56,-6.81,-4.05,-10.12,-2.49,0.01,true,false,true,true,false,true,false,false,Significant Decrease,No Significant Change,Significant Decrease,Significant Decrease,No Significant Change,Significant Decrease,No Significant Change,No Significant Change,US,US-US,2018,9,2018,10,all,all,38,1Month2MonthUS
US|2018|10|all|all:US|2018|11|all|all,-0.84,-2.02,-4.53,-3.04,13.08,-0.9,-8.46,-5.17,false,false,true,false,false,false,false,false,No Significant Change,No Significant Change,Significant Decrease,No Significant Change,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,10,2018,11,all,all,38,1Month2MonthUS
