Jurisdiction,statename,month,Year,m_name,Age,Sex,Suspected_drug_OD_n,Suspected_opioid_OD_n,Suspected_heroin_OD_n,Suspected_stimulant_OD_n,Total_ED
AK,ALASKA,1,2018,M12018,0-14,F,7,.,.,1,2034
AL,ALABAMA,1,2018,M12018,0-14,F,30,2,.,1,15918
AR,ARKANSAS,1,2018,M12018,0-14,F,26,.,.,.,6626
AZ,ARIZONA,1,2018,M12018,0-14,F,43,2,.,4,9294
CO,COLORADO,1,2018,M12018,0-14,F,16,.,.,.,2810
CT,CONNECTICUT,1,2018,M12018,0-14,F,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,1,2018,M12018,0-14,F,9,.,.,.,5180
FL,FLORIDA,1,2018,M12018,0-14,F,185,4,.,6,88364
GA,GEORGIA,1,2018,M12018,0-14,F,97,3,.,3,44445
IL,ILLINOIS,1,2018,M12018,0-14,F,139,.,.,1,42711
IN,INDIANA,1,2018,M12018,0-14,F,82,3,.,1,20816
KS,KANSAS,1,2018,M12018,0-14,F,48,2,.,2,8270
KY,KENTUCKY,1,2018,M12018,0-14,F,37,2,.,.,14225
LA,LOUISIANA,1,2018,M12018,0-14,F,18,1,1,1,11053
MA,MASSACHUSETTS,1,2018,M12018,0-14,F,65,2,.,1,16449
MD,MARYLAND,1,2018,M12018,0-14,F,68,2,.,.,14646
ME,MAINE,1,2018,M12018,0-14,F,12,.,.,.,2833
MI,MICHIGAN,1,2018,M12018,0-14,F,84,1,.,.,28941
MO,MISSOURI,1,2018,M12018,0-14,F,38,1,.,1,25547
MT,MONTANA,1,2018,M12018,0-14,F,19,.,.,.,2143
NC,NORTH CAROLINA,1,2018,M12018,0-14,F,102,3,.,4,34428
NH,NEW HAMPSHIRE,1,2018,M12018,0-14,F,14,1,.,.,6950
NJ,NEW JERSEY,1,2018,M12018,0-14,F,47,2,.,.,28135
NM,NEW MEXICO,1,2018,M12018,0-14,F,28,1,.,.,8009
NV,NEVADA,1,2018,M12018,0-14,F,41,1,.,1,8856
NY,NEW YORK,1,2018,M12018,0-14,F,86,1,.,1,54630
OH,OHIO,1,2018,M12018,0-14,F,137,2,.,2,49365
OR,OREGON,1,2018,M12018,0-14,F,44,.,.,1,9702
PA,PENNSYLVANIA,1,2018,M12018,0-14,F,97,1,.,3,25212
SD,SOUTH DAKOTA,1,2018,M12018,0-14,F,21,.,.,.,2064
TN,TENNESSEE,1,2018,M12018,0-14,F,47,3,.,.,13988
UT,UTAH,1,2018,M12018,0-14,F,30,.,.,1,2984
VA,VIRGINIA,1,2018,M12018,0-14,F,84,1,.,1,21949
VT,VERMONT,1,2018,M12018,0-14,F,8,.,.,.,1388
WA,WASHINGTON,1,2018,M12018,0-14,F,50,1,.,.,7818
WI,WISCONSIN,1,2018,M12018,0-14,F,46,.,.,.,16053
AK,ALASKA,2,2018,M22018,0-14,F,8,.,.,.,2087
AL,ALABAMA,2,2018,M22018,0-14,F,45,.,.,1,13684
AR,ARKANSAS,2,2018,M22018,0-14,F,18,.,.,.,5838
AZ,ARIZONA,2,2018,M22018,0-14,F,35,1,.,2,8211
CO,COLORADO,2,2018,M22018,0-14,F,14,.,.,.,3171
CT,CONNECTICUT,2,2018,M22018,0-14,F,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,2,2018,M22018,0-14,F,14,.,.,.,5248
FL,FLORIDA,2,2018,M22018,0-14,F,202,10,1,3,85619
GA,GEORGIA,2,2018,M22018,0-14,F,90,2,.,5,41750
IL,ILLINOIS,2,2018,M22018,0-14,F,158,.,.,1,38026
IN,INDIANA,2,2018,M22018,0-14,F,84,2,.,2,20726
KS,KANSAS,2,2018,M22018,0-14,F,35,.,.,2,7806
KY,KENTUCKY,2,2018,M22018,0-14,F,44,2,.,1,13963
LA,LOUISIANA,2,2018,M22018,0-14,F,21,.,.,1,10793
MA,MASSACHUSETTS,2,2018,M22018,0-14,F,60,3,.,2,17511
MD,MARYLAND,2,2018,M22018,0-14,F,42,1,.,1,13978
ME,MAINE,2,2018,M22018,0-14,F,17,.,.,.,3119
MI,MICHIGAN,2,2018,M22018,0-14,F,50,.,.,1,29197
MO,MISSOURI,2,2018,M22018,0-14,F,42,1,.,1,22643
MT,MONTANA,2,2018,M22018,0-14,F,16,.,.,.,2031
NC,NORTH CAROLINA,2,2018,M22018,0-14,F,97,1,.,3,35142
NH,NEW HAMPSHIRE,2,2018,M22018,0-14,F,9,1,.,.,4003
NJ,NEW JERSEY,2,2018,M22018,0-14,F,43,.,.,.,31584
NM,NEW MEXICO,2,2018,M22018,0-14,F,22,2,.,.,6805
NV,NEVADA,2,2018,M22018,0-14,F,35,.,.,.,9161
NY,NEW YORK,2,2018,M22018,0-14,F,73,1,.,1,57921
OH,OHIO,2,2018,M22018,0-14,F,130,3,.,2,48405
OR,OREGON,2,2018,M22018,0-14,F,59,1,.,.,8700
PA,PENNSYLVANIA,2,2018,M22018,0-14,F,75,1,.,1,25239
SD,SOUTH DAKOTA,2,2018,M22018,0-14,F,17,.,.,.,2086
TN,TENNESSEE,2,2018,M22018,0-14,F,50,3,1,.,15928
UT,UTAH,2,2018,M22018,0-14,F,44,1,.,1,3842
VA,VIRGINIA,2,2018,M22018,0-14,F,73,.,.,.,24903
