geoid,year,month,rate_time,jurisdiction_count,race_ethnicity,drug_rate,drug_pct,opioid_rate,opioid_pct,fentanyl_rate,fentanyl_pct,heroin_rate,heroin_pct,stimulant_rate,stimulant_pct,cocaine_rate,cocaine_pct,methamphetamine_rate,methamphetamine_pct,benzodiazepine_rate,benzodiazepine_pct
US,2023,12,Annual,37,"AIAN, NH",104,1.3,37.8,1.4,10.1,2.5,1.7,0.5,7,1.7,1.3,0.7,4.7,3.2,1,0.6
US,2023,12,Annual,37,"Asian, NH",42.7,0.9,6.8,0.4,1.1,0.5,0.4,0.2,1.9,0.8,0.6,0.6,0.6,0.8,0.7,0.7
US,2023,12,Annual,37,"Black, NH",68.2,18.4,25.3,20.7,2.5,13.5,4.9,31,4.4,22.8,3,35.4,0.8,11.6,0.6,8.3
US,2023,12,Annual,37,Hispanic,56.4,11.1,17.9,10.6,3.3,12.9,1.9,8.7,3.4,12.7,1.8,15.2,0.9,9.8,0.9,8.7
US,2023,12,Annual,37,Missing,73.3,6.5,20.6,5.5,3.3,5.8,2.8,5.8,3.5,5.9,1.6,6.2,1.1,5.2,1.2,5.2
US,2023,12,Annual,37,"Multiple/Other, NH",70,2.9,22.6,2.8,4.1,3.3,2.7,2.6,4,3.2,1.6,2.8,1.6,3.5,1.3,2.5
US,2023,12,Annual,37,"NHOPI, NH",52.6,0.2,15.3,0.2,3.3,0.3,9999,0.1,2.9,0.2,1,0.2,1.4,0.3,0.9,0.2
US,2023,12,Annual,37,"White, NH",72.7,58.7,23.8,58.2,3.8,61.2,2.7,51,3.4,52.8,1.1,38.9,1.5,65.5,1.9,73.9
US,2024,1,Annual,37,"AIAN, NH",97.3,1.2,34.4,1.3,9.9,2.4,1.4,0.4,6.9,1.6,1.3,0.7,4.6,3.1,1,0.6
US,2024,1,Annual,37,"Asian, NH",42.4,0.9,6.8,0.4,1.2,0.5,0.4,0.2,2,0.8,0.7,0.6,0.6,0.8,0.6,0.6
US,2024,1,Annual,37,"Black, NH",65.4,18.4,23.8,20.4,2.5,13.5,4.6,31.3,4.3,22.9,2.9,35.4,0.8,11.8,0.6,8.4
US,2024,1,Annual,37,Hispanic,55.4,10.9,17.4,10.5,3.3,12.6,1.8,8.7,3.3,12.4,1.8,15.1,0.9,9.6,0.9,8.5
US,2024,1,Annual,37,Missing,73.1,6.7,20.6,5.8,3.5,6.2,2.6,5.9,3.5,6.1,1.6,6.4,1.1,5.3,1.2,5.2
US,2024,1,Annual,37,"Multiple/Other, NH",68.9,2.9,22.1,2.8,4,3.2,2.6,2.6,3.9,3,1.6,2.8,1.5,3.4,1.3,2.5
US,2024,1,Annual,37,"NHOPI, NH",50.5,0.2,14.9,0.2,3.3,0.3,9999,0.1,3.1,0.2,0.9,0.2,1.6,0.3,1,0.2
US,2024,1,Annual,37,"White, NH",71.9,58.8,23.4,58.5,3.9,61.3,2.5,50.7,3.4,52.9,1.1,38.8,1.5,65.8,1.9,73.9
US,2024,2,Annual,37,"AIAN, NH",95.7,1.2,34.3,1.3,9.9,2.4,1.3,0.4,6.7,1.6,1.2,0.7,4.5,3.1,1.1,0.7
US,2024,2,Annual,37,"Asian, NH",42.1,0.9,6.7,0.5,1.2,0.5,0.4,0.2,1.9,0.8,0.7,0.7,0.6,0.8,0.6,0.7
US,2024,2,Annual,37,"Black, NH",64.4,18.4,23.3,20.4,2.5,13.6,4.4,31.4,4.2,23,2.9,35.4,0.7,11.7,0.6,8.4
US,2024,2,Annual,37,Hispanic,54.6,11,17.1,10.5,3.2,12.5,1.7,8.8,3.3,12.5,1.8,15.1,0.9,9.6,0.9,8.5
US,2024,2,Annual,37,Missing,72.2,6.7,20.3,5.8,3.5,6.2,2.6,6.1,3.4,6.1,1.6,6.4,1,5.3,1.2,5.1
US,2024,2,Annual,37,"Multiple/Other, NH",67.8,2.8,21.7,2.8,4,3.2,2.6,2.7,3.8,3.1,1.5,2.7,1.5,3.5,1.2,2.5
US,2024,2,Annual,37,"NHOPI, NH",49.6,0.2,14,0.2,3,0.2,9999,0.1,3.2,0.2,0.9,0.1,1.7,0.4,0.9,0.2
US,2024,2,Annual,37,"White, NH",70.9,58.8,23,58.5,3.8,61.3,2.4,50.3,3.3,52.8,1.1,38.9,1.4,65.6,1.9,74
US,2024,3,Annual,37,"AIAN, NH",94.9,1.2,34.4,1.3,10,2.4,1.3,0.4,6.5,1.6,1.2,0.6,4.3,3.1,1,0.6
US,2024,3,Annual,37,"Asian, NH",42.3,0.9,7,0.5,1.3,0.5,0.3,0.2,1.9,0.8,0.7,0.7,0.6,0.8,0.7,0.7
US,2024,3,Annual,37,"Black, NH",63.4,18.4,22.9,20.4,2.5,13.6,4.2,31.6,4.2,23,2.9,35.3,0.7,11.8,0.6,8.3
US,2024,3,Annual,37,Hispanic,53.9,11,16.8,10.5,3.2,12.5,1.7,8.8,3.2,12.5,1.7,15.1,0.8,9.7,0.9,8.4
US,2024,3,Annual,37,Missing,71.4,6.7,20.1,5.8,3.5,6.2,2.5,6.1,3.4,6.1,1.6,6.6,1,5.4,1.1,5
US,2024,3,Annual,37,"Multiple/Other, NH",67.1,2.9,21.3,2.8,4,3.3,2.4,2.7,3.7,3,1.5,2.8,1.4,3.5,1.2,2.5
US,2024,3,Annual,37,"NHOPI, NH",48.7,0.2,14.1,0.2,3,0.2,9999,0.1,3.1,0.2,9999,0.1,1.6,0.4,9999,0.1
US,2024,3,Annual,37,"White, NH",69.9,58.7,22.6,58.4,3.8,61.1,2.3,50.1,3.3,52.7,1.1,38.8,1.4,65.5,1.9,74.3
US,2024,4,Annual,37,"AIAN, NH",93.8,1.2,34.2,1.4,10.1,2.5,1.3,0.4,6.3,1.6,1.1,0.6,4.2,3.1,1,0.6
US,2024,4,Annual,37,"Asian, NH",42.5,1,6.9,0.5,1.3,0.5,0.3,0.2,1.9,0.8,0.7,0.7,0.6,0.8,0.7,0.7
US,2024,4,Annual,37,"Black, NH",62.6,18.4,22.4,20.5,2.5,13.8,4,31.8,4.1,23,2.8,35.3,0.7,11.8,0.6,8.3
US,2024,4,Annual,37,Hispanic,53.1,11,16.4,10.5,3.2,12.5,1.6,8.7,3.2,12.6,1.7,15.3,0.8,9.6,0.9,8.5
US,2024,4,Annual,37,Missing,70.5,6.7,19.7,5.8,3.4,6.2,2.4,6.1,3.4,6.1,1.6,6.5,1,5.3,1.1,5.1
US,2024,4,Annual,37,"Multiple/Other, NH",66.2,2.9,21,2.8,4.1,3.3,2.4,2.8,3.7,3.1,1.5,2.8,1.4,3.5,1.2,2.5
US,2024,4,Annual,37,"NHOPI, NH",47.3,0.2,13.9,0.2,3,0.2,9999,0.1,3,0.2,9999,0.1,1.6,0.4,9999,0.1
US,2024,4,Annual,37,"White, NH",68.8,58.6,22.1,58.3,3.8,60.9,2.2,49.9,3.2,52.6,1.1,38.7,1.4,65.5,1.8,74.2
US,2024,5,Annual,36,"AIAN, NH",94,1.3,34.7,1.4,10.3,2.6,1.1,0.4,6.2,1.6,0.9,0.6,4.2,3.2,1,0.6
US,2024,5,Annual,36,"Asian, NH",41.7,1,6.9,0.5,1.3,0.6,0.3,0.2,1.8,0.8,0.6,0.7,0.6,0.8,0.6,0.7
US,2024,5,Annual,36,"Black, NH",61.6,18.1,21.9,20,2.5,13.8,3.8,32.6,3.9,22.1,2.6,34.3,0.7,11.8,0.6,8.2
US,2024,5,Annual,36,Hispanic,52.4,11.4,16.1,10.9,3.2,12.8,1.4,9.2,3.2,13.4,1.7,16.4,0.8,10,0.8,8.8
US,2024,5,Annual,36,Missing,69.5,6.6,19.4,5.7,3.6,6.2,2.1,5.8,3.2,5.9,1.4,6,1,5.4,1,4.7
US,2024,5,Annual,36,"Multiple/Other, NH",66.6,2.9,21.2,2.9,4.2,3.4,2.4,3,3.7,3.2,1.5,3,1.4,3.5,1.1,2.4
US,2024,5,Annual,36,"NHOPI, NH",45.6,0.2,13.6,0.2,3.2,0.3,9999,0.1,3.1,0.3,9999,0.1,1.7,0.4,9999,0.2
US,2024,5,Annual,36,"White, NH",68.7,58.5,22,58.3,3.8,60.4,2,48.8,3.2,52.7,1,38.8,1.3,64.8,1.8,74.3
